ground truth	prediction
115.52500000000003	27.85355
13701.215714285712	13503.368
679.40875	105.00233
0.0	29.10415
8.8175	32.283997
21834.95333333333	21243.998
20761.710909090907	21053.691
0.5	32.418858
1.0	32.293133
3952.861666666666	3723.2595
15343.673076923076	15088.552
3048.741666666667	3364.6794
1032.2268749999996	216.22397
1.6774999999999995	32.936977
0.0	31.074427
163.85	33.604702
457.7525	95.14495
0.0	33.471527
2.2166666666666663	33.890812
0.0	30.256039
663.6625	104.22513
20068.92692307692	20684.7
3510.9908333333333	3956.7886
18852.17133333333	18893.865
6.713636363636363	31.918148
1.0421052631578946	32.002728
0.0	32.287567
0.0	27.759235
200.115625	32.870464
0.9374999999999999	32.796402
86.75357142857142	29.285593
20852.6475	21166.76
5966.165	6857.147
0.0	30.719957
19270.298666666666	19486.693
25481.886363636364	24108.37
2303.385625	2724.7405
19285.005500000007	19226.584
0.0	28.273233
7.93	32.63127
0.0	29.816786
967.5686666666666	593.6058
22378.98833333333	22202.553
17.599999999999994	31.957167
24274.243125	23452.479
4.525	31.947565
423.59	425.2727
310.172	34.873222
0.75	32.742493
20506.906874999997	20846.197
1130.4329411764704	256.47186
10.1	33.034332
0.0	32.250523
6840.501874999999	2003.8894
27459.11764705882	24999.027
836.44875	666.6603
320.12416666666667	41.39065
609.22125	61.062256
1.0473684210526315	31.915228
11.4	32.51374
1221.56375	1259.2069
24155.45571428572	23175.04
0.0	33.374996
0.0	30.031635
2.203125	31.782951
21391.29111111112	20833.04
28.242857142857144	31.497126
13295.236153846156	12806.862
0.0	32.171757
4.792857142857144	31.883171
8704.460000000001	9717.648
14863.92875	15064.014
15128.643571428574	15672.786
3161.1224999999995	2989.6333
1858.006	2168.483
9.263157894736842	31.508322
5.062500000000001	31.559433
0.0	33.188457
0.0	33.199696
20931.448666666667	22093.607
4.824999999999998	31.447525
2836.780000000001	3232.8591
354.2	49.57669
346.79900000000004	44.25509
3404.770833333333	3544.398
5.058333333333334	33.462364
0.0	33.63424
25167.53125	24313.668
20796.32076923077	20875.635
26694.005294117647	24877.934
0.0	32.21755
2133.049375	2203.0852
7260.5633333333335	7692.7036
7976.650000000001	7911.5366
7875.890833333334	8984.775
13718.596842105264	13161.429
0.3125	32.55518
4.61875	31.822638
3.4833333333333325	32.54192
25392.29	24680.32
3.0374999999999988	34.027775
2.35625	32.54705
0.1	32.597393
4950.963333333334	4065.291
11.20833333333333	31.725561
6637.53857142857	6775.3877
0.0	31.678604
1.0	27.289368
0.25	31.959494
22635.21875	22838.342
0.6884615384615385	32.433956
1066.9880000000005	581.29
867.0543749999997	142.91476
10357.714166666668	11280.812
18568.55294117648	18629.102
5870.839166666668	5800.4775
20911.880833333333	21121.215
0.0	29.522823
626.5199999999998	738.8263
7.633124999999999	32.48504
1.140625	32.22465
8280.472499999998	8553.096
5335.585625	5786.528
1.3576923076923075	33.090424
413.40133333333335	93.5766
5938.951	5762.219
12892.07375	12341.536
2.421875	33.44641
170.7090909090909	26.006723
8405.278461538463	8988.179
3.899999999999999	32.486713
22899.094166666677	22709.234
1.071875	31.140749
17861.495000000006	17899.344
13644.87	13900.361
18963.65	18386.285
1660.6015	1164.7389
18498.925789473684	19128.086
16116.405263157896	16142.639
0.0	31.803362
0.9	30.147455
7295.9923076923105	7736.059
1343.0484999999996	1238.6661
7925.391250000003	9191.935
0.0	25.884254
5691.802	6434.709
15403.216153846151	15467.61
0.0	32.761154
23943.3411764706	23758.557
2.4916666666666663	32.082653
1136.658	1269.5802
0.0	33.004875
0.46874999999999994	32.00096
0.0416666666666666	32.22712
0.0	32.566216
7.862500000000002	31.774624
13848.104705882355	14206.233
0.0	33.53072
13937.488823529411	15379.599
7567.30875	7723.094
2050.554	2205.476
2930.185833333333	3478.0132
0.0	30.131691
0.0	32.167374
188.8625	33.150196
0.0	30.500525
18140.2375	18519.883
128.8875	26.701117
2873.933125	3400.061
9099.4625	10104.653
0.0	33.084988
218.54615384615383	27.393436
23913.6055	23409.457
969.2988888888891	182.1008
0.0	32.686214
2.686666666666667	32.8331
22949.215	23002.97
0.0	33.325947
19605.03833333333	19697.607
10958.89	11558.28
0.0	31.739288
17185.69	18072.512
15884.5375	15436.052
0.0	32.52946
1.6249999999999996	33.56025
0.0	32.55539
22344.86071428572	22136.541
3589.048	3394.467
0.0	32.71981
8483.7575	8638.964
0.0	27.07429
0.425	32.890293
21259.7652631579	21049.646
5003.630999999999	4563.1934
0.35	29.651466
1348.4358333333332	1170.0225
11803.1825	11264.613
11067.597368421051	10885.607
692.4482352941177	90.2265
1.7031249999999996	33.020287
23964.981500000005	23872.04
0.0	30.33778
15167.776666666665	16559.154
22567.07071428572	21797.621
6.274999999999998	31.96254
20343.131578947367	21074.13
0.0	33.44783
0.0	29.680435
0.725	28.594986
2.0045454545454544	33.16181
1.6624999999999996	31.966637
0.990625	32.807682
0.0	33.040802
3.8781250000000007	30.374825
14809.994375000004	15195.48
4496.104	4207.797
23285.454375	23006.695
1.8227272727272725	33.84426
0.0	29.037846
25146.59750000001	24587.326
5252.701666666667	2532.1465
0.0	32.73286
0.96875	28.35856
0.125	29.221941
1467.2895	1845.0264
11396.582631578944	11368.378
0.0	26.709045
0.0	25.209425
8895.938	10131.518
7196.055625000003	7674.4727
4842.335	5660.5513
0.25	28.642445
6094.468333333332	6383.8735
19960.12555555556	19103.758
0.0	28.28587
8584.923333333334	8480.811
189.09375	32.821545
5161.021428571427	5577.183
0.0	33.377304
