ground truth	prediction
1763.285714	1762.3158
0.0	65.422035
11379.71429	10780.784
497.81249999999994	410.5399
0.0	70.19775
8470.375	8120.052
685.25	296.11313
6168.25	6488.6816
7176.000000000001	7574.6094
361.4285714	419.84555
3839.285714	4528.193
4439.0	4651.3955
10108.14286	10041.553
1680.4166666666667	1369.5782
0.0	47.838707
0.0	28.536873
7596.4285709999995	7919.1587
0.0	48.25303
3895.7142859999994	4567.526
0.0	58.143032
0.0	61.49946
0.0	49.97946
0.0	51.77538
0.0	60.94953
7151.875	7262.768
0.0	67.75135
0.0	54.94587
0.0	60.362583
8904.285714	9041.091
0.0	31.670902
12046.28571	11558.477
4411.0	4795.3965
2528.875	3166.387
0.0	61.569225
0.0	31.066841
2130.875	2176.7783
2740.125	3002.7012
2329.5	2324.152
66.57142857	68.11064
7185.499999999999	7100.574
12987.28571	12137.178
0.0	53.77167
0.0	49.28908
11947.28571	11806.022
10319.28571	9528.974
0.0	54.421062
0.0	67.67881
8724.571429000001	8825.167
0.0	31.108896
4055.625	4976.595
6473.5	6704.4927
0.0	68.96038
114.25	266.9534
5829.571429	6363.0913
0.0	66.09095
3151.375	2981.641
307.6666666666667	173.6313
5042.571429	5281.0493
451.14285710000007	146.31996
2434.75	2647.4702
10777.0	10800.694
1370.375	931.75287
0.0	60.84533
0.0	66.58414
1936.714286	2068.4783
0.0	40.469543
0.0	60.164165
1952.428571	2302.4475
0.0	48.06934
7507.125000000001	7177.5234
6818.5714290000005	7460.539
5377.375	6181.1714
0.0	56.947334
0.0	43.367203
0.0	62.5373
0.0	46.226482
6584.0	6618.9478
0.0	29.399488
0.0	28.487186
0.0	54.637177
0.0	46.66551
484.125	178.94301
3272.875	4102.4995
3243.714286	3215.0952
0.0	57.267017
0.0	62.8844
0.0	71.50087
7227.857143000001	7227.2124
2213.714286	1951.3372
0.0	76.37739
75.57142857	155.64337
0.0	50.261917
1731.0	1790.3563
0.0	44.80039
0.0	58.746666
10656.0	10888.053
0.0	37.61427
1344.3333333333333	467.1775
0.0	58.335083
5708.142857	6320.8438
0.0	55.785957
0.0	53.88897
0.0	42.637352
